id,title,question_text,choices,question_name,question_type,points_possible,answers
7253529,,Which group do you belong to?,,Question 1,multiple_choice_question,1.0,Wilson - Scratch (100%); Wilson - Python (0%); JMA (0%)
7253530,,"How did the process of preparation go for you? Are there any weaknesses that need to be corrected for? What, if any, strengths do you think could be better utilized?",,Question 2,essay_question,1.0,
7253531,,Do you feel that the Middle School Scholars were engaged with the lesson? Think in terms of both content and activities. Are there any issues that ought to be corrected for in future lessons or students that could be better served in a different manner of engagement?,,Question 3,essay_question,1.0,
7253532,,"Did you hear any comments (and/or body language or reactions) from Middle School students indicating satisfaction such as ""I feel great"", ""it feels good"", etc. as well as motivation such as ""I think I can do it"", ""I want to be"", and similar ones? Please provide your detailed observation as well as the phrase or sentence that you remembered.",,Question 4,essay_question,1.0,
7253533,,"What was your overall observation of the workshop? For example ""Did you notice any changes from your previous times?What has gotten easier since then? Continuing from previous question, what has gotten harder since then? "" or if this was your first time doing it, ""explain how was the first-time experience for you?""",,Question 5,essay_question,1.0,
7253534,,Is there anything that stands out to you in this most recent visit to your Middle School? It can be something unique or something that has continued on from previous times. Please try to put complete paragraphs and don't just answer it with a few simple sentences.,,Question 6,essay_question,1.0,
7253535,,"For students who are not participating in the MS event, you need to write your reflective essay and upload it here. You need to work on materials including new examples or activities for the next class. For this reason, you need to make sure you understand what is covered by the corresponding group you belong to and what will be covered in next class and align your suggested activity with the goals of the current session and next session as well as the hand out. Make sure to review the links in the ""Course Main Resources"" and clearly explain how did you come up with the activity.",,Question 7,file_upload_question,1.0,
9174001,Question 1,What is the primary focus of Software Engineering?,Developing high-quality software systems; Creating hardware components; Managing databases; Designing user interfaces,,,,
9174002,Question 2,Which of the following is a key principle of Software Engineering?,Agility; Randomness; Chaos; Simplicity,,,,
9174003,Question 3,What does the Software Development Life Cycle (SDLC) encompass?,"Only coding; Planning, design, implementation, testing, and maintenance; Only testing; Only requirements gathering",,,,
9174004,Question 4,What is the purpose of requirements elicitation in Software Engineering?,To gather and define stakeholder needs; To write code; To test software; To deploy applications,,,,
9174005,Question 5,Which methodology emphasizes iterative development and flexibility?,Waterfall; Agile; Spiral; V-Model,,,,
9174006,Question 6,What is defensive programming?,A method to anticipate potential errors; A way to write code without testing; A technique to ignore user feedback; A method to speed up coding,,,,
9174007,Question 7,What is the significance of software testing?,To ensure software meets requirements and is defect-free; To increase software size; To reduce software costs; To eliminate documentation,,,,
9174008,Question 8,What does Agile Development promote?,Flexibility and collaboration; Strict adherence to plans; Isolation of team members; Minimizing user feedback,,,,
9174009,Question 9,What is the role of quality assurance in Software Engineering?,To ensure software meets specified requirements; To ignore user needs; To focus solely on coding; To reduce project timelines,,,,
9174010,Question 10,What is encapsulation in Object-Oriented Programming?,Hiding data and methods within a class; Sharing data across classes; Creating global variables; Using only public methods,,,,
9174011,Question 11,What is the purpose of version control systems?,To track changes in code; To write code faster; To eliminate bugs; To manage hardware,,,,
9174012,Question 12,What does the design stage in the SDLC involve?,Translating requirements into a blueprint; Writing code; Testing software; Deploying applications,,,,
